BaseType,Initial_Weight_g,AfterBlend_Weight_g,AfterHeating_Weight_g,Heating_Temperature_C,AfterCompression_Weight_g,Heating_time,Pan_type,Blending_time,Blender_power_W,mixer_speed,ph,moisture,Compression_Pressure_psi
Banana Peel,114.37,113.33,56.11,116.24,48.59,16.03,Iron ,42.82,426.03,3.19,5.56,L2,11
Banana Peel,99.93,98.74,44.59,100.68,39.09,20.26,Iron ,37.65,389.2,2.94,5.7,L3,15
Banana Peel,103.39,93.49,46.61,93.46,39.08,20.76,Iron ,32.6,402.57,3.13,5.14,L3,15
Banana Peel,100.07,97.34,47.62,92.03,43.26,19.03,Iron ,37.62,395.24,2.8,5.29,L3,15
Banana Peel,94.19,91.64,47.14,96.26,39.5,20.95,Iron ,34.02,423.65,3.11,5.28,L3,15
Banana Peel,92.92,88.93,47.48,99.76,42.46,19.72,Iron ,36.42,414.72,3.23,5.82,L3,15
Banana Peel,120.37,113.88,54.08,117.45,49.95,16.01,Iron ,38.31,423.87,3.16,4.92,L2,11
Banana Peel,126.55,121.32,55.84,118.23,44.61,15.52,Iron ,42.1,440.09,2.79,5.2,L2,11
Banana Peel,114.98,116.23,53.15,108.41,47.34,14.66,Iron ,38.92,434.54,2.89,5.01,L2,11
Banana Peel,102.15,93.52,42.46,97.28,42.43,20.08,Iron ,32.78,398.26,3.05,5.77,L3,15
Banana Peel,121.74,113.13,52.21,113.8,44.43,14.04,Iron ,37.87,421.38,2.86,4.98,L2,11
Banana Peel,124.89,112.38,49.82,116.29,46.19,15.79,Iron ,38.0,429.43,2.88,5.11,L2,11
Banana Peel,127.04,106.3,53.41,115.08,51.68,15.98,Iron ,36.9,445.52,2.86,5.18,L2,11
Banana Peel,98.08,88.68,43.75,97.7,42.36,19.6,Iron ,35.29,390.77,2.91,5.11,L3,15
Banana Peel,120.93,111.17,54.38,117.07,51.68,15.38,Iron ,38.92,413.35,2.89,4.94,L2,11
Banana Peel,117.58,121.21,52.33,108.47,49.23,16.12,Iron ,41.29,452.92,3.17,5.19,L2,11
Banana Peel,103.49,94.77,42.87,94.74,41.02,19.39,Iron ,35.3,424.25,2.8,5.27,L3,15
Banana Peel,100.44,95.94,47.8,100.18,40.67,19.07,Iron ,33.27,374.17,3.18,5.8,L3,15
Banana Peel,104.07,88.69,46.57,98.77,43.42,18.75,Iron ,34.2,415.11,2.84,5.45,L3,15
Banana Peel,111.73,123.69,52.56,102.94,48.54,16.04,Iron ,41.56,400.45,2.99,5.3,L2,11
Banana Peel,102.89,89.67,46.82,89.66,41.38,19.96,Iron ,34.38,382.02,2.99,5.57,L3,15
Banana Peel,117.57,115.14,48.51,112.11,51.43,15.18,Iron ,38.54,400.83,2.87,5.4,L2,11
Banana Peel,129.26,114.67,50.99,117.77,45.18,13.89,Iron ,39.76,403.49,2.81,4.93,L2,11
Banana Peel,100.32,100.97,45.99,101.86,42.22,18.87,Iron ,36.7,409.89,3.05,5.37,L3,15
Banana Peel,104.85,101.59,45.91,96.75,44.45,19.47,Iron ,34.59,427.17,2.79,5.8,L3,15
Banana Peel,102.35,95.17,47.35,92.07,41.03,19.67,Iron ,36.53,427.98,3.22,5.86,L3,15
Banana Peel,97.29,94.71,45.02,92.84,42.55,20.16,Iron ,36.87,390.76,3.08,5.44,L3,15
Banana Peel,99.08,95.83,42.07,92.9,43.33,20.31,Iron ,37.25,371.87,3.15,5.17,L3,15
Banana Peel,96.75,91.66,47.93,101.36,39.04,21.06,Iron ,36.08,389.6,2.88,5.75,L3,15
Banana Peel,91.72,95.1,43.69,90.75,41.87,18.78,Iron ,36.63,416.72,2.98,5.21,L3,15
Banana Peel,125.44,117.68,51.1,115.8,48.23,16.13,Iron ,39.37,389.16,2.84,5.38,L2,11
Banana Peel,116.23,111.57,55.17,105.72,46.06,15.98,Iron ,42.82,401.53,3.06,4.88,L2,11
Banana Peel,96.37,92.33,43.06,93.05,44.97,18.81,Iron ,33.92,399.51,2.96,5.77,L3,15
Banana Peel,125.62,113.93,51.35,114.93,45.15,14.52,Iron ,39.16,442.6,2.87,5.31,L2,11
Banana Peel,127.05,124.23,53.74,116.09,47.92,15.92,Iron ,40.64,437.21,2.98,5.42,L2,11
Banana Peel,97.08,92.75,45.66,93.75,45.05,18.96,Iron ,37.17,379.62,3.04,5.23,L3,15
Banana Peel,98.65,92.45,43.1,99.82,44.17,20.2,Iron ,33.74,377.33,3.04,5.34,L3,15
Banana Peel,119.17,108.98,50.69,115.59,47.05,15.72,Iron ,39.13,425.18,3.19,5.65,L2,11
Banana Peel,125.58,122.0,53.3,107.48,50.8,14.1,Iron ,37.55,437.93,3.09,5.25,L2,11
Banana Peel,120.9,119.79,49.59,112.11,46.21,14.49,Iron ,39.64,430.64,2.85,5.69,L2,11
Banana Peel,101.26,100.31,43.55,99.22,44.54,20.73,Iron ,37.12,375.93,3.23,5.86,L3,15
Banana Peel,116.08,123.72,54.47,108.74,51.37,15.16,Iron ,40.6,427.28,3.05,4.89,L2,11
Banana Peel,91.33,97.99,48.28,98.07,38.97,21.27,Iron ,32.69,415.65,2.9,5.27,L3,15
Banana Peel,94.16,87.44,41.77,87.73,44.81,20.86,Iron ,36.57,388.23,2.83,5.76,L3,15
Banana Peel,115.56,112.79,51.43,102.16,47.62,14.85,Iron ,39.43,427.26,2.99,4.96,L2,11
Banana Peel,101.87,101.14,47.39,88.09,39.15,21.38,Iron ,36.61,386.69,3.11,5.66,L3,15
Banana Peel,110.77,120.99,54.9,101.93,44.46,14.95,Iron ,37.85,443.37,3.02,5.4,L2,11
Banana Peel,125.27,113.14,50.54,105.79,48.19,15.95,Iron ,36.91,401.33,3.15,4.92,L2,11
Banana Peel,112.56,123.59,50.27,115.07,46.89,15.31,Iron ,36.88,416.29,2.95,4.89,L2,11
Banana Peel,125.33,117.16,51.04,115.68,46.94,14.34,Iron ,41.53,453.52,3.09,5.24,L2,11
Banana Peel,102.36,101.01,41.69,97.04,40.05,19.71,Iron ,35.12,412.07,2.83,5.16,L3,15
Banana Peel,115.39,110.94,54.8,108.41,50.99,14.52,Iron ,39.93,420.06,2.94,4.94,L2,11
Banana Peel,119.23,119.18,50.23,103.01,51.78,15.19,Iron ,36.96,393.39,2.84,5.63,L2,11
Banana Peel,112.83,107.76,52.43,113.91,45.52,15.03,Iron ,39.07,420.87,2.87,5.39,L2,11
Banana Peel,95.9,88.79,47.01,99.14,42.49,20.14,Iron ,37.63,404.57,3.02,5.32,L3,15
Banana Peel,104.91,100.32,46.83,87.78,39.1,19.74,Iron ,34.29,389.81,2.99,5.43,L3,15
Banana Peel,114.36,122.86,53.32,103.54,47.82,15.44,Iron ,41.41,418.17,2.96,4.89,L2,11
Banana Peel,115.02,120.7,52.14,106.31,46.12,15.57,Iron ,41.56,393.27,3.21,5.03,L2,11
Banana Peel,97.87,90.94,45.23,97.68,42.86,18.76,Iron ,37.51,413.13,3.02,5.84,L3,15
Banana Peel,125.38,114.59,53.78,103.75,50.66,14.07,Iron ,38.33,399.15,3.19,5.32,L2,11
Banana Peel,94.97,99.78,46.71,94.5,45.13,18.95,Iron ,32.69,397.19,3.21,5.48,L3,15
Banana Peel,102.15,96.84,42.57,100.71,43.77,21.46,Iron ,33.87,383.07,3.18,5.78,L3,15
Beetroot,100.63,95.52,57.43,88.22,56.06,18.1,Iron ,47.28,452.21,3.03,6.53,L2,27
Beetroot,108.03,109.81,60.05,93.97,50.22,19.2,Iron ,43.32,484.84,2.96,6.86,L2,27
Beetroot,88.12,74.72,43.59,90.97,40.66,12.87,Iron ,36.85,425.2,1.9,7.05,L3,28
Beetroot,78.97,79.51,43.08,82.8,45.31,12.15,Iron ,33.2,412.7,1.87,6.45,L3,28
Beetroot,105.11,107.73,54.51,87.95,58.17,18.35,Iron ,45.27,416.06,2.86,6.13,L2,27
Beetroot,81.46,77.66,40.3,85.17,42.81,12.19,Iron ,32.28,401.67,2.1,7.19,L3,28
Beetroot,76.64,83.06,41.37,82.28,42.57,13.52,Iron ,37.67,449.66,1.85,6.4,L3,28
Beetroot,84.05,81.21,43.52,86.25,41.72,12.28,Iron ,33.17,452.18,2.06,7.27,L3,28
Beetroot,103.72,107.21,56.45,93.5,57.99,17.67,Iron ,41.65,463.33,3.07,6.33,L2,27
Beetroot,98.65,95.65,55.27,88.95,53.67,18.43,Iron ,44.52,467.57,2.84,6.63,L2,27
Beetroot,111.07,100.11,52.55,94.06,57.87,18.51,Iron ,42.79,474.18,3.08,6.57,L2,27
Beetroot,108.7,106.93,59.37,99.89,50.44,19.15,Iron ,42.28,465.53,3.0,7.1,L2,27
Beetroot,86.84,84.58,45.24,91.63,39.1,12.33,Iron ,33.72,406.71,1.97,6.31,L3,28
Beetroot,109.8,98.11,58.73,90.37,56.44,16.69,Iron ,44.25,441.58,3.03,6.1,L2,27
Beetroot,109.29,98.6,59.12,88.27,57.27,18.05,Iron ,44.44,429.69,2.88,6.31,L2,27
Beetroot,100.82,109.71,61.0,100.09,55.21,17.35,Iron ,41.73,444.37,3.13,6.27,L2,27
Beetroot,78.19,81.39,40.02,80.81,43.91,13.35,Iron ,33.34,437.81,1.89,6.38,L3,28
Beetroot,108.71,96.27,53.73,96.25,54.89,18.54,Iron ,47.03,469.72,3.08,6.56,L2,27
Beetroot,76.15,86.45,46.57,89.98,43.04,13.44,Iron ,37.38,413.19,2.16,7.22,L3,28
Beetroot,96.9,97.98,58.88,92.86,50.73,16.92,Iron ,42.85,455.79,3.09,6.95,L2,27
Beetroot,97.12,97.14,56.99,90.17,57.32,17.85,Iron ,43.85,432.37,2.89,7.13,L2,27
Beetroot,88.74,75.88,42.42,91.4,40.21,13.42,Iron ,37.7,412.98,2.13,6.53,L3,28
Beetroot,100.33,102.32,55.26,95.81,55.87,19.3,Iron ,43.83,444.43,3.0,6.78,L2,27
Beetroot,77.59,86.43,44.15,80.76,41.82,13.13,Iron ,36.0,392.91,2.01,6.61,L3,28
Beetroot,83.87,80.11,44.86,81.62,38.64,12.68,Iron ,32.22,401.6,2.07,6.34,L3,28
Beetroot,85.27,76.45,40.03,86.9,44.07,12.2,Iron ,36.21,434.76,1.96,7.2,L3,28
Beetroot,82.14,85.08,41.63,89.16,44.06,14.03,Iron ,34.1,399.78,2.1,6.63,L3,28
Beetroot,112.08,103.8,53.27,96.15,51.47,19.18,Iron ,44.0,456.17,3.2,6.99,L2,27
Beetroot,111.72,101.03,57.35,93.55,54.56,19.14,Iron ,48.0,436.44,3.11,6.76,L2,27
Beetroot,99.06,109.99,59.66,89.54,53.83,17.31,Iron ,44.55,433.08,3.12,6.92,L2,27
Beetroot,99.89,102.25,52.47,100.82,56.85,18.72,Iron ,47.09,459.06,3.18,6.87,L2,27
Beetroot,81.76,82.4,42.92,86.84,41.76,12.04,Iron ,32.66,423.19,1.98,6.7,L3,28
Beetroot,106.19,102.09,61.18,97.83,53.06,16.93,Iron ,44.37,452.75,2.89,7.02,L2,27
Beetroot,103.56,102.29,59.07,88.54,56.62,19.41,Iron ,45.16,441.35,2.78,6.76,L2,27
Beetroot,109.3,95.9,59.34,95.1,57.67,17.14,Iron ,45.86,420.22,2.79,7.03,L2,27
Beetroot,97.72,102.14,58.58,95.32,50.31,17.27,Iron ,45.57,475.99,3.23,6.51,L2,27
Beetroot,77.18,87.16,40.62,84.19,44.91,12.84,Iron ,37.28,410.53,1.95,7.18,L3,28
Beetroot,85.83,75.6,41.03,85.57,44.28,12.24,Iron ,32.45,428.28,1.9,6.54,L3,28
Beetroot,80.97,76.96,45.03,82.63,45.01,13.16,Iron ,35.11,444.56,2.02,6.39,L3,28
Beetroot,112.23,109.27,53.27,87.44,56.98,18.59,Iron ,47.42,474.36,2.79,6.34,L2,27
Beetroot,99.71,97.97,53.49,99.69,56.3,17.44,Iron ,42.07,465.71,2.83,6.83,L2,27
Beetroot,111.34,96.6,54.35,91.99,53.91,17.12,Iron ,48.57,418.46,3.1,6.71,L2,27
Beetroot,107.82,106.95,60.35,102.24,55.18,18.46,Iron ,47.4,453.53,2.85,6.64,L2,27
Beetroot,108.68,94.72,59.77,93.73,57.56,18.18,Iron ,43.92,431.89,3.08,6.97,L2,27
Beetroot,84.23,75.31,42.14,91.37,44.74,14.04,Iron ,32.4,418.74,1.88,6.95,L3,28
Beetroot,78.86,74.71,45.58,90.0,43.39,12.4,Iron ,37.75,393.91,1.89,6.97,L3,28
Beetroot,105.7,95.63,54.69,88.67,51.24,17.43,Iron ,43.19,429.67,2.86,7.04,L2,27
Beetroot,103.43,106.61,58.82,90.02,50.38,19.32,Iron ,44.4,468.31,3.22,6.67,L2,27
Beetroot,99.9,95.68,58.87,91.23,53.34,19.43,Iron ,42.29,421.06,3.01,6.37,L2,27
Beetroot,79.42,84.65,45.4,80.18,42.19,12.49,Iron ,33.44,429.02,1.98,6.39,L3,28
Beetroot,98.2,103.31,52.76,88.32,57.61,16.71,Iron ,47.93,465.17,3.12,6.29,L2,27
Beetroot,97.23,97.42,53.92,88.75,54.84,18.29,Iron ,41.58,464.31,3.01,6.14,L2,27
Beetroot,97.09,107.31,57.54,97.56,51.31,17.41,Iron ,48.27,416.75,3.11,6.43,L2,27
Beetroot,110.23,103.9,60.59,95.8,53.81,17.55,Iron ,48.31,434.43,3.17,6.82,L2,27
Beetroot,78.89,75.13,42.38,79.82,42.42,13.43,Iron ,32.65,389.89,2.03,7.31,L3,28
Beetroot,109.22,104.79,57.46,100.96,58.0,18.88,Iron ,44.3,458.2,3.21,6.84,L2,27
Beetroot,78.54,76.26,44.76,87.89,41.36,13.82,Iron ,34.38,406.23,1.97,7.11,L3,28
Beetroot,87.43,87.22,43.92,88.76,44.84,13.37,Iron ,35.63,452.04,1.93,6.66,L3,28
Beetroot,105.55,103.44,58.89,92.51,54.27,17.0,Iron ,47.33,473.49,2.78,6.4,L2,27
Beetroot,87.2,76.15,42.39,80.61,44.26,12.39,Iron ,32.62,440.57,2.0,6.93,L3,28
Beetroot,105.14,107.75,57.75,94.96,57.94,18.53,Iron ,47.62,462.81,2.94,6.53,L2,27
Beetroot,109.39,109.82,52.78,99.01,54.89,17.01,Iron ,44.88,462.99,3.04,7.0,L2,27
Beetroot,85.77,75.68,41.7,89.35,42.06,13.19,Iron ,32.7,429.46,1.89,6.52,L3,28
Beetroot,80.87,83.68,44.75,90.9,41.17,12.38,Iron ,35.51,439.9,1.86,6.57,L3,28
Beetroot,106.28,104.88,53.26,95.15,58.11,18.08,Iron ,42.35,436.34,3.05,7.12,L2,27
Beetroot,79.8,85.24,45.19,88.15,43.2,12.78,Iron ,34.3,444.77,2.03,7.21,L3,28
Beetroot,110.69,102.03,52.62,89.1,51.68,17.95,Iron ,48.52,471.82,2.76,6.45,L2,27
Beetroot,109.9,108.65,61.08,91.83,56.55,19.15,Iron ,44.5,424.21,3.16,7.06,L2,27
Beetroot,79.0,80.04,43.0,91.77,39.32,12.28,Iron ,32.51,434.47,1.98,6.83,L3,28
Beetroot,78.61,74.96,41.9,84.4,42.34,12.58,Iron ,34.27,443.76,1.85,7.32,L3,28
Beetroot,88.31,87.18,43.19,88.14,40.93,12.51,Iron ,35.33,426.98,1.89,6.67,L3,28
Beetroot,98.78,99.84,54.68,88.84,54.05,17.97,Iron ,47.76,414.78,2.98,6.71,L2,27
Beetroot,77.67,81.54,45.64,79.11,41.11,13.11,Iron ,36.79,434.51,1.85,6.5,L3,28
Beetroot,109.44,104.48,54.02,94.47,52.7,18.79,Iron ,48.0,482.47,2.81,6.1,L2,27
Beetroot,81.66,85.61,45.06,81.85,40.94,13.49,Iron ,35.31,438.34,2.07,6.4,L3,28
Beetroot,99.41,104.61,54.98,99.69,53.34,18.89,Iron ,44.29,446.34,3.07,6.27,L2,27
Beetroot,113.26,104.38,60.78,95.86,53.8,18.7,Iron ,44.43,428.42,3.14,6.58,L2,27
Beetroot,108.85,99.03,58.9,102.14,58.08,16.92,Iron ,43.86,458.71,3.05,6.81,L2,27
Beetroot,103.03,103.22,56.21,95.17,53.06,17.05,Iron ,45.67,480.42,3.21,6.17,L2,27
Beetroot,97.62,97.32,52.45,92.61,53.14,17.59,Iron ,46.7,420.04,3.18,6.24,L2,27
Beetroot,88.46,81.67,45.06,86.22,42.18,12.32,Iron ,35.49,451.81,2.14,6.44,L3,28
Beetroot,79.11,83.11,45.11,89.01,44.35,13.04,Iron ,36.05,397.84,2.13,7.14,L3,28
Beetroot,83.68,82.54,44.61,88.82,45.15,13.48,Iron ,34.01,448.02,2.16,6.92,L3,28
Beetroot,85.82,85.37,46.2,88.39,41.96,12.91,Iron ,33.74,412.19,2.14,6.62,L3,28
Beetroot,98.45,107.28,57.16,97.54,50.03,18.35,Iron ,44.28,423.63,3.08,7.11,L2,27
Beetroot,107.47,105.84,58.79,89.33,50.02,17.87,Iron ,42.4,469.91,3.11,6.91,L2,27
Beetroot,87.06,86.89,45.87,86.67,44.44,12.41,Iron ,34.71,440.68,2.14,6.84,L3,28
Beetroot,107.98,105.87,56.52,93.39,57.84,16.73,Iron ,41.65,441.73,2.8,7.03,L2,27
Beetroot,101.99,107.08,61.32,99.25,52.21,18.92,Iron ,44.06,471.1,2.84,6.77,L2,27
Beetroot,98.31,96.41,57.39,93.91,55.44,17.66,Iron ,46.27,485.91,2.9,6.45,L2,27
Beetroot,78.68,76.7,42.32,90.57,42.8,12.53,Iron ,37.01,412.5,1.85,7.06,L3,28
Beetroot,110.2,100.65,53.7,92.17,54.9,16.72,Iron ,46.34,438.42,2.88,6.51,L2,27
Beetroot,87.99,87.3,45.42,85.2,44.15,13.27,Iron ,35.84,446.28,2.11,6.27,L3,28
Beetroot,107.71,104.91,56.09,102.07,52.97,19.02,Iron ,41.58,473.54,3.16,7.02,L2,27
Beetroot,110.66,97.56,56.39,101.1,58.21,17.14,Iron ,47.34,478.66,2.92,6.31,L2,27
Beetroot,82.75,81.61,41.33,82.34,40.51,13.34,Iron ,35.75,436.72,2.14,7.08,L3,28
Beetroot,82.45,83.92,46.72,89.87,40.81,12.77,Iron ,33.29,412.43,1.97,6.26,L3,28
Beetroot,77.59,82.98,46.1,87.3,43.46,12.47,Iron ,32.88,408.76,2.14,7.28,L3,28
Beetroot,106.21,102.07,60.18,99.13,57.31,19.31,Iron ,45.83,449.89,2.84,6.19,L2,27
Beetroot,81.38,74.52,40.43,80.88,40.07,12.99,Iron ,33.81,413.13,2.01,6.65,L3,28
Bottle guard,95.63,89.68,49.3,86.8,43.44,11.98,Iron ,20.43,207.51,1.07,6.2,L2,"
"
Bottle guard,107.08,109.6,66.03,95.78,61.93,18.88,Iron ,24.4,301.24,2.09,5.82,L3,"
"
Bottle guard,84.78,92.23,48.53,89.5,47.87,12.08,Iron ,21.43,191.93,0.92,6.45,L2,"
"
Bottle guard,107.58,115.86,61.35,98.58,64.04,19.83,Iron ,25.24,320.18,2.11,6.71,L3,"
"
Bottle guard,111.14,104.55,59.16,101.22,58.83,19.33,Iron ,25.04,293.34,2.12,6.59,L3,"
"
Bottle guard,120.34,109.73,62.28,99.46,59.88,19.87,Iron ,26.61,277.0,1.95,6.36,L3,"
"
Bottle guard,84.11,88.15,53.09,91.52,48.13,12.18,Iron ,18.67,187.83,0.98,5.99,L2,"
"
Bottle guard,120.31,107.56,63.06,93.44,61.35,18.78,Iron ,26.52,300.54,1.85,6.34,L3,"
"
Bottle guard,90.32,94.55,49.68,96.39,45.54,12.72,Iron ,19.75,194.14,1.02,6.71,L2,"
"
Bottle guard,89.27,95.37,51.66,87.56,47.62,12.07,Iron ,20.5,200.42,1.03,6.53,L2,"
"
Bottle guard,87.35,84.69,48.6,84.69,50.12,13.81,Iron ,18.92,202.9,1.03,6.58,L2,"
"
Bottle guard,86.68,85.52,46.28,86.46,42.91,13.32,Iron ,19.52,207.12,1.05,6.03,L2,"
"
Bottle guard,120.29,104.74,62.9,104.25,56.37,19.81,Iron ,26.88,310.0,2.1,5.97,L3,"
"
Bottle guard,96.85,95.28,52.17,95.63,46.01,12.19,Iron ,20.66,200.39,1.07,6.85,L2,"
"
Bottle guard,115.74,112.28,62.23,94.11,59.21,19.1,Iron ,23.73,290.06,2.06,6.39,L3,"
"
Bottle guard,84.1,82.23,49.49,90.07,48.14,12.96,Iron ,18.53,212.6,1.02,6.22,L2,"
"
Bottle guard,96.76,93.3,47.19,96.44,47.12,12.29,Iron ,19.81,189.12,0.98,6.33,L2,"
"
Bottle guard,93.77,94.11,49.32,85.17,44.13,13.97,Iron ,20.58,206.2,0.98,6.43,L2,"
"
Bottle guard,111.59,109.16,66.83,92.42,62.07,17.78,Iron ,25.22,283.2,2.1,5.84,L3,"
"
Bottle guard,109.39,103.87,63.53,99.75,58.64,18.71,Iron ,23.6,293.48,2.05,6.03,L3,"
"
Bottle guard,112.43,107.4,65.22,106.92,59.76,20.34,Iron ,24.65,290.74,2.05,6.02,L3,"
"
Bottle guard,118.24,115.77,66.31,93.71,57.52,19.58,Iron ,24.09,311.77,1.97,6.29,L3,"
"
Bottle guard,115.7,115.82,60.28,99.88,62.38,18.73,Iron ,23.88,296.5,2.13,6.49,L3,"
"
Bottle guard,90.9,84.81,50.67,83.73,50.2,12.08,Iron ,18.49,199.86,0.96,6.64,L2,"
"
Bottle guard,105.38,109.46,63.29,104.28,57.69,18.72,Iron ,23.19,285.55,2.07,6.47,L3,"
"
Bottle guard,104.0,103.03,63.59,106.87,59.86,18.21,Iron ,23.5,294.5,2.11,6.17,L3,"
"
Bottle guard,82.92,87.09,46.97,86.51,45.36,12.55,Iron ,19.47,201.0,1.07,6.15,L2,"
"
Bottle guard,97.08,82.71,47.53,87.16,49.76,12.89,Iron ,21.59,201.49,1.05,6.14,L2,"
"
Bottle guard,91.42,95.28,51.12,89.23,49.07,12.15,Iron ,19.77,204.79,0.92,6.54,L2,"
"
Bottle guard,91.51,87.57,48.22,86.79,47.92,12.91,Iron ,20.47,213.62,0.93,6.98,L2,"
"
Bottle guard,95.74,84.02,51.29,91.03,49.28,12.97,Iron ,20.78,194.42,0.93,6.15,L2,"
"
Bottle guard,87.82,85.33,48.2,92.37,42.92,13.49,Iron ,20.88,203.59,0.93,6.68,L2,"
"
Bottle guard,86.3,89.09,52.37,87.53,47.74,13.7,Iron ,19.24,184.61,1.06,6.63,L2,"
"
Bottle guard,96.81,94.21,52.94,93.2,46.34,12.07,Iron ,21.33,189.51,0.94,6.83,L2,"
"
Bottle guard,94.39,86.74,53.32,86.67,46.58,12.32,Iron ,20.77,204.88,0.94,6.62,L2,"
"
Bottle guard,88.94,90.85,52.91,92.5,43.89,12.43,Iron ,19.03,196.03,0.94,6.0,L2,"
"
Bottle guard,113.67,108.51,58.49,100.9,56.94,18.12,Iron ,24.17,291.84,1.85,6.29,L3,"
"
Bottle guard,95.02,92.22,52.94,83.42,49.37,12.97,Iron ,20.88,205.54,0.94,6.0,L2,"
"
Bottle guard,84.71,89.57,51.28,94.66,44.54,13.4,Iron ,21.44,206.11,1.01,6.25,L2,"
"
Bottle guard,95.41,89.86,50.55,85.66,48.15,12.42,Iron ,21.09,196.68,1.06,6.68,L2,"
"
Bottle guard,94.41,94.92,50.28,87.91,46.92,13.33,Iron ,20.25,205.37,0.94,5.99,L2,"
"
